player_id,sessions_per_week,avg_session_minutes,hours_per_session,total_weeks_active,total_playtime_hours,total_activity_minutes,achievements_unlocked,purchases_made,xp_earned,player_level,friends_count,quests_completed,items_crafted,chat_messages,days_since_last_login,toxicity_reports,clan_participation_rate,monetisation_score,engagement_score,noise_uniform_1,noise_uniform_2,noise_gauss_1,label
1,13,86.1,1.43,17,316.03,19028,26,0,2154,31,13,18,8,77,20,0,0.339,0.0,0.515,0.5368,0.0651,-0.746,0
2,10,72.0,1.2,31,372.0,22320,18,2,1688,25,27,9,13,105,44,4,0.43,4.4,0.402,0.9867,0.4457,0.6453,0
3,4,92.5,1.54,1,6.16,370,28,1,3071,65,29,0,0,0,0,0,0.192,2.54,0.291,0.5278,0.5551,-0.2186,1
4,6,32.3,0.54,18,58.32,3488,32,0,1815,8,99,19,9,16,19,0,0.418,0.0,0.198,0.3486,0.0063,-0.0607,0
5,13,103.7,1.73,17,382.33,22918,59,3,4108,27,97,28,5,98,6,0,0.288,8.19,0.51,0.4387,0.7125,-1.3517,1
6,4,78.0,1.3,29,150.8,9048,14,0,2279,41,79,4,0,68,0,0,0.0,0.0,0.165,0.7829,0.657,-0.6065,0
7,4,38.5,0.64,28,71.68,4312,19,0,918,1,66,24,18,12,19,1,0.0,0.0,0.122,0.8292,0.1446,-0.3891,1
8,10,44.4,0.74,14,103.6,6216,37,4,2697,62,40,27,30,0,0,1,0.521,6.96,0.317,0.4407,0.9565,1.0596,1
9,2,54.3,0.9,30,54.0,3258,0,4,2825,21,0,20,0,0,15,1,0.036,7.6,0.303,0.751,0.7987,0.2225,0
10,9,45.7,0.76,40,273.6,16452,10,0,1568,6,21,25,9,42,0,0,0.386,0.0,0.441,0.0983,0.1739,0.2129,0
11,11,62.2,1.04,26,297.44,17789,0,1,1332,19,5,18,0,190,0,1,0.0,2.04,0.27,0.2721,0.112,-0.2022,0
12,2,75.5,1.26,26,65.52,3926,17,0,1059,27,50,0,0,133,2,0,0.28,0.0,0.379,0.9145,0.744,-1.4088,0
13,3,33.1,0.55,10,16.5,993,6,1,2050,40,47,0,9,150,0,1,0.101,1.55,0.234,0.1779,0.2714,1.5968,0
14,3,45.4,0.76,28,63.84,3814,15,3,933,60,104,14,4,152,9,0,0.002,5.28,0.347,0.7281,0.7264,-1.011,1
15,10,30.4,0.51,21,107.1,6384,15,2,932,12,114,33,36,148,22,1,0.13,3.02,0.256,0.5907,0.7973,0.479,1
16,6,43.5,0.72,14,60.48,3654,35,0,2657,25,0,14,24,0,13,1,0.0,0.0,0.377,0.2872,0.2336,0.3658,0
17,7,13.7,0.23,24,38.64,2302,34,0,1106,1,48,18,0,310,9,0,0.231,0.0,0.354,0.1437,0.2275,-1.9355,1
18,11,71.4,1.19,7,91.63,5498,17,0,2496,15,106,0,3,178,45,0,0.338,0.0,0.426,0.8849,0.3707,0.9625,0
19,3,77.1,1.28,31,119.04,7170,9,2,2637,6,0,3,20,0,0,0,0.021,4.56,0.384,0.9909,0.774,-0.6714,1
20,5,84.5,1.41,15,105.75,6338,25,3,1741,39,68,12,11,0,19,0,0.231,7.23,0.249,0.6245,0.9524,0.8017,0
21,9,61.1,1.02,23,211.14,12648,25,6,1288,30,133,9,23,179,0,3,0.357,12.12,0.408,0.3317,0.0794,-0.3783,1
22,2,57.5,0.96,28,53.76,3220,48,1,2323,39,86,17,0,189,36,0,0.233,1.96,0.407,0.9115,0.8147,-0.7595,0
23,8,56.4,0.94,31,233.12,13987,37,1,1134,21,53,6,17,62,25,0,0.0,1.94,0.148,0.0832,0.898,0.2795,0
24,14,75.2,1.25,12,210.0,12634,32,2,1250,1,100,5,16,216,0,0,0.148,4.5,0.3,0.8587,0.1859,0.4373,0
25,7,64.3,1.07,6,44.94,2701,18,2,2601,19,0,3,4,294,18,0,0.523,4.14,0.336,0.7602,0.4411,0.5717,1
26,7,43.7,0.73,10,51.1,3059,0,1,1985,7,64,2,7,69,0,0,0.131,1.73,0.296,0.272,0.6061,0.2801,0
27,11,38.6,0.64,5,35.2,2123,37,1,3246,69,81,17,24,195,14,0,0.0,1.64,0.405,0.938,0.7923,-1.5565,1
28,6,58.4,0.97,13,75.66,4555,23,0,826,31,167,4,14,61,33,2,0.391,0.0,0.3,0.0785,0.8049,-2.0291,0
29,16,86.3,1.44,66,1520.64,91133,17,0,1891,42,0,0,12,171,69,0,0.115,0.0,0.488,0.0045,0.6904,-0.0218,1
30,5,41.0,0.68,38,129.2,7790,46,4,1903,55,35,37,3,0,27,1,0.468,6.72,0.23,0.3949,0.8602,-0.8046,1
31,7,70.4,1.17,19,155.61,9363,59,2,909,60,5,0,6,95,0,1,0.322,4.34,0.329,0.8623,0.8863,-0.0895,0
32,2,41.3,0.69,23,31.74,1900,8,1,1433,15,22,36,12,0,0,1,0.202,1.69,0.124,0.2386,0.1755,0.8913,0
